Wavelength (nm),Absorbance
200.0,0.915
201.0,0.913
202.0,0.944
203.0,0.925
204.0,0.932
205.0,0.956
206.0,0.940
207.0,0.973
208.0,0.970
209.0,0.986
210.0,0.981
211.0,1.009
212.0,1.024
213.0,1.030
214.0,1.039
215.0,1.050
216.0,1.053
217.0,1.065
218.0,1.090
219.0,1.102
220.0,1.120
221.0,1.133
222.0,1.201
223.0,1.323
224.0,1.603
225.0,2.009
226.0,2.428
227.0,2.808
228.0,3.126
229.0,3.389
230.0,3.616
231.0,3.823
232.0,4.010
233.0,4.134
234.0,4.253
235.0,4.368
236.0,4.434
237.0,4.481
238.0,4.590
239.0,4.608
240.0,4.697
241.0,4.709
242.0,4.738
243.0,4.744
244.0,4.787
245.0,4.805
246.0,4.843
247.0,4.808
248.0,4.799
249.0,4.856
250.0,4.789
251.0,4.818
252.0,4.823
253.0,4.835
254.0,4.821
255.0,4.822
256.0,4.836
257.0,4.797
258.0,4.806
259.0,4.750
260.0,4.741
261.0,4.766
262.0,4.716
263.0,4.740
264.0,4.691
265.0,4.631
266.0,4.630
267.0,4.608
268.0,4.549
269.0,4.504
270.0,4.457
271.0,4.401
272.0,4.377
273.0,4.340
274.0,4.301
275.0,4.260
276.0,4.236
277.0,4.185
278.0,4.134
279.0,4.101
280.0,4.059
281.0,4.019
282.0,3.985
283.0,3.941
284.0,3.911
285.0,3.866
286.0,3.831
287.0,3.795
288.0,3.750
289.0,3.711
290.0,3.677
291.0,3.634
292.0,3.602
293.0,3.580
294.0,3.537
295.0,3.500
296.0,3.466
297.0,3.436
298.0,3.398
299.0,3.371
300.0,3.335
301.0,3.303
302.0,3.273
303.0,3.243
304.0,3.213
305.0,3.180
306.0,3.161
307.0,3.131
308.0,3.100
309.0,3.067
310.0,3.032
311.0,3.002
312.0,2.972
313.0,2.938
314.0,2.904
315.0,2.874
316.0,2.839
317.0,2.805
318.0,2.775
319.0,2.743
320.0,2.709
321.0,2.679
322.0,2.646
323.0,2.618
324.0,2.587
325.0,2.558
326.0,2.528
327.0,2.496
328.0,2.469
329.0,2.444
330.0,2.416
331.0,2.391
332.0,2.361
333.0,2.336
334.0,2.309
335.0,2.282
336.0,2.256
337.0,2.229
338.0,2.203
339.0,2.177
340.0,2.153
341.0,2.128
342.0,2.102
343.0,2.078
344.0,2.054
345.0,2.029
346.0,2.004
347.0,1.982
348.0,1.957
349.0,1.932
350.0,1.910
351.0,1.886
352.0,1.862
353.0,1.837
354.0,1.812
355.0,1.787
356.0,1.762
357.0,1.736
358.0,1.710
359.0,1.684
360.0,1.657
361.0,1.631
362.0,1.604
363.0,1.576
364.0,1.549
365.0,1.521
366.0,1.494
367.0,1.466
368.0,1.438
369.0,1.410
370.0,1.383
371.0,1.356
372.0,1.329
373.0,1.299
374.0,1.274
375.0,1.248
376.0,1.223
377.0,1.199
378.0,1.175
379.0,1.149
380.0,1.125
381.0,1.102
382.0,1.078
383.0,1.056
384.0,1.034
385.0,1.013
386.0,0.993
387.0,0.972
388.0,0.952
389.0,0.934
390.0,0.916
391.0,0.898
392.0,0.882
393.0,0.866
394.0,0.850
395.0,0.835
396.0,0.821
397.0,0.807
398.0,0.793
399.0,0.780
400.0,0.767
401.0,0.755
402.0,0.742
403.0,0.730
404.0,0.718
405.0,0.707
406.0,0.697
407.0,0.685
408.0,0.675
409.0,0.664
410.0,0.654
411.0,0.644
412.0,0.634
413.0,0.625
414.0,0.616
415.0,0.606
416.0,0.597
417.0,0.589
418.0,0.580
419.0,0.571
420.0,0.563
421.0,0.555
422.0,0.547
423.0,0.539
424.0,0.531
425.0,0.523
426.0,0.515
427.0,0.508
428.0,0.500
429.0,0.493
430.0,0.485
431.0,0.478
432.0,0.472
433.0,0.465
434.0,0.458
435.0,0.452
436.0,0.446
437.0,0.440
438.0,0.435
439.0,0.429
440.0,0.424
441.0,0.419
442.0,0.415
443.0,0.410
444.0,0.406
445.0,0.402
446.0,0.398
447.0,0.394
448.0,0.391
449.0,0.387
450.0,0.383
451.0,0.380
452.0,0.377
453.0,0.374
454.0,0.371
455.0,0.368
456.0,0.365
457.0,0.362
458.0,0.359
459.0,0.356
460.0,0.353
461.0,0.350
462.0,0.347
463.0,0.344
