Wavelength (nm),Absorbance
200.0,0.959
201.0,0.958
202.0,0.988
203.0,0.960
204.0,0.986
205.0,0.977
206.0,1.007
207.0,1.015
208.0,1.031
209.0,1.026
210.0,1.050
211.0,1.057
212.0,1.080
213.0,1.073
214.0,1.082
215.0,1.101
216.0,1.106
217.0,1.136
218.0,1.145
219.0,1.171
220.0,1.178
221.0,1.210
222.0,1.261
223.0,1.390
224.0,1.678
225.0,2.070
226.0,2.499
227.0,2.861
228.0,3.191
229.0,3.464
230.0,3.695
231.0,3.881
232.0,4.054
233.0,4.217
234.0,4.337
235.0,4.403
236.0,4.469
237.0,4.528
238.0,4.587
239.0,4.630
240.0,4.643
241.0,4.690
242.0,4.693
243.0,4.670
244.0,4.663
245.0,4.674
246.0,4.650
247.0,4.666
248.0,4.607
249.0,4.612
250.0,4.566
251.0,4.583
252.0,4.531
253.0,4.509
254.0,4.520
255.0,4.519
256.0,4.496
257.0,4.467
258.0,4.466
259.0,4.443
260.0,4.433
261.0,4.402
262.0,4.364
263.0,4.365
264.0,4.344
265.0,4.339
266.0,4.316
267.0,4.283
268.0,4.290
269.0,4.250
270.0,4.229
271.0,4.213
272.0,4.194
273.0,4.164
274.0,4.154
275.0,4.127
276.0,4.093
277.0,4.076
278.0,4.054
279.0,4.031
280.0,3.994
281.0,3.994
282.0,3.950
283.0,3.932
284.0,3.909
285.0,3.868
286.0,3.852
287.0,3.806
288.0,3.785
289.0,3.760
290.0,3.734
291.0,3.700
292.0,3.671
293.0,3.631
294.0,3.610
295.0,3.575
296.0,3.552
297.0,3.523
298.0,3.486
299.0,3.454
300.0,3.423
301.0,3.395
302.0,3.365
303.0,3.332
304.0,3.298
305.0,3.266
306.0,3.246
307.0,3.214
308.0,3.176
309.0,3.138
310.0,3.107
311.0,3.068
312.0,3.032
313.0,2.996
314.0,2.962
315.0,2.926
316.0,2.888
317.0,2.851
318.0,2.814
319.0,2.784
320.0,2.747
321.0,2.714
322.0,2.683
323.0,2.650
324.0,2.620
325.0,2.588
326.0,2.560
327.0,2.531
328.0,2.503
329.0,2.477
330.0,2.450
331.0,2.426
332.0,2.401
333.0,2.373
334.0,2.350
335.0,2.326
336.0,2.303
337.0,2.278
338.0,2.255
339.0,2.232
340.0,2.210
341.0,2.188
342.0,2.166
343.0,2.144
344.0,2.123
345.0,2.102
346.0,2.082
347.0,2.060
348.0,2.039
349.0,2.017
350.0,1.997
351.0,1.975
352.0,1.954
353.0,1.932
354.0,1.909
355.0,1.885
356.0,1.861
357.0,1.837
358.0,1.812
359.0,1.788
360.0,1.762
361.0,1.736
362.0,1.710
363.0,1.681
364.0,1.654
365.0,1.626
366.0,1.597
367.0,1.569
368.0,1.540
369.0,1.511
370.0,1.482
371.0,1.455
372.0,1.426
373.0,1.395
374.0,1.369
375.0,1.342
376.0,1.316
377.0,1.291
378.0,1.266
379.0,1.240
380.0,1.214
381.0,1.190
382.0,1.166
383.0,1.143
384.0,1.122
385.0,1.100
386.0,1.079
387.0,1.059
388.0,1.039
389.0,1.021
390.0,1.004
391.0,0.987
392.0,0.971
393.0,0.955
394.0,0.940
395.0,0.926
396.0,0.912
397.0,0.899
398.0,0.886
399.0,0.873
400.0,0.861
401.0,0.849
402.0,0.837
403.0,0.825
404.0,0.814
405.0,0.803
406.0,0.793
407.0,0.782
408.0,0.772
409.0,0.761
410.0,0.751
411.0,0.740
412.0,0.730
413.0,0.720
414.0,0.711
415.0,0.701
416.0,0.691
417.0,0.681
418.0,0.672
419.0,0.662
420.0,0.653
421.0,0.644
422.0,0.635
423.0,0.626
424.0,0.617
425.0,0.607
426.0,0.598
427.0,0.589
428.0,0.580
429.0,0.572
430.0,0.563
431.0,0.555
432.0,0.547
433.0,0.539
434.0,0.531
435.0,0.524
436.0,0.517
437.0,0.510
438.0,0.504
439.0,0.498
440.0,0.492
441.0,0.487
442.0,0.482
443.0,0.477
444.0,0.472
445.0,0.468
446.0,0.464
447.0,0.460
448.0,0.456
449.0,0.453
450.0,0.450
451.0,0.446
452.0,0.443
453.0,0.441
454.0,0.438
455.0,0.435
456.0,0.433
457.0,0.430
458.0,0.427
459.0,0.425
460.0,0.423
461.0,0.420
462.0,0.417
463.0,0.415
464.0,0.412
465.0,0.409
466.0,0.406
467.0,0.403
468.0,0.401
469.0,0.398
470.0,0.395
471.0,0.391
472.0,0.388
473.0,0.385
474.0,0.381
475.0,0.378
476.0,0.374
477.0,0.371
478.0,0.367
479.0,0.363
480.0,0.359
481.0,0.355
482.0,0.351
483.0,0.347
484.0,0.343
485.0,0.339
486.0,0.335
487.0,0.331
488.0,0.327
489.0,0.324
490.0,0.320
491.0,0.316
492.0,0.312
493.0,0.308
494.0,0.304
495.0,0.301
496.0,0.297
497.0,0.294
498.0,0.290
499.0,0.287
500.0,0.284
501.0,0.280
502.0,0.277
503.0,0.274
504.0,0.271
505.0,0.268
506.0,0.265
507.0,0.262
508.0,0.259
509.0,0.256
510.0,0.254
511.0,0.251
512.0,0.248
513.0,0.246
514.0,0.243
515.0,0.241
516.0,0.238
517.0,0.236
518.0,0.233
519.0,0.231
520.0,0.228
521.0,0.226
522.0,0.223
523.0,0.221
524.0,0.219
525.0,0.216
526.0,0.214
527.0,0.212
528.0,0.209
529.0,0.207
530.0,0.205
531.0,0.203
532.0,0.201
533.0,0.199
534.0,0.196
535.0,0.194
536.0,0.192
537.0,0.190
538.0,0.188
539.0,0.186
540.0,0.184
541.0,0.182
542.0,0.180
543.0,0.178
544.0,0.177
545.0,0.175
546.0,0.173
547.0,0.171
548.0,0.169
549.0,0.168
550.0,0.166
551.0,0.164
552.0,0.162
553.0,0.161
554.0,0.159
555.0,0.158
556.0,0.156
557.0,0.154
558.0,0.153
559.0,0.152
560.0,0.150
561.0,0.149
562.0,0.147
563.0,0.146
564.0,0.145
565.0,0.143
566.0,0.142
567.0,0.141
568.0,0.139
569.0,0.138
570.0,0.137
571.0,0.136
572.0,0.134
573.0,0.133
574.0,0.132
575.0,0.131
576.0,0.130
577.0,0.129
578.0,0.127
579.0,0.126
580.0,0.125
581.0,0.124
582.0,0.123
583.0,0.122
584.0,0.121
585.0,0.120
586.0,0.119
587.0,0.118
588.0,0.117
589.0,0.116
590.0,0.115
591.0,0.114
592.0,0.113
593.0,0.112
594.0,0.111
595.0,0.110
596.0,0.109
597.0,0.108
598.0,0.107
599.0,0.106
600.0,0.105
601.0,0.104
602.0,0.104
603.0,0.103
604.0,0.102
605.0,0.101
606.0,0.100
607.0,0.099
608.0,0.098
609.0,0.097
610.0,0.097
611.0,0.096
612.0,0.095
613.0,0.094
614.0,0.093
615.0,0.092
616.0,0.092
617.0,0.091
618.0,0.090
619.0,0.089
620.0,0.089
621.0,0.088
622.0,0.087
623.0,0.086
624.0,0.086
625.0,0.085
626.0,0.084
627.0,0.083
628.0,0.083
629.0,0.082
630.0,0.081
631.0,0.080
632.0,0.080
633.0,0.079
634.0,0.078
635.0,0.078
636.0,0.077
637.0,0.076
638.0,0.076
639.0,0.075
640.0,0.074
641.0,0.074
642.0,0.073
643.0,0.073
644.0,0.072
645.0,0.071
646.0,0.071
647.0,0.070
648.0,0.070
649.0,0.069
650.0,0.068
651.0,0.068
652.0,0.067
653.0,0.067
654.0,0.066
655.0,0.066
656.0,0.065
657.0,0.064
658.0,0.064
659.0,0.063
660.0,0.063
661.0,0.062
662.0,0.062
663.0,0.061
664.0,0.061
665.0,0.060
666.0,0.060
667.0,0.059
668.0,0.059
669.0,0.058
670.0,0.058
671.0,0.057
672.0,0.057
673.0,0.057
674.0,0.056
675.0,0.056
676.0,0.055
677.0,0.055
678.0,0.054
679.0,0.054
680.0,0.053
681.0,0.053
682.0,0.053
683.0,0.052
684.0,0.052
685.0,0.051
686.0,0.051
687.0,0.050
688.0,0.050
689.0,0.050
690.0,0.049
691.0,0.049
692.0,0.049
693.0,0.048
694.0,0.048
695.0,0.047
696.0,0.047
697.0,0.047
698.0,0.046
699.0,0.046
700.0,0.046
701.0,0.045
702.0,0.045
703.0,0.045
704.0,0.044
705.0,0.044
706.0,0.043
707.0,0.043
708.0,0.043
709.0,0.043
710.0,0.042
711.0,0.042
712.0,0.041
713.0,0.041
714.0,0.041
715.0,0.041
716.0,0.040
717.0,0.040
718.0,0.040
719.0,0.040
720.0,0.039
721.0,0.039
722.0,0.039
723.0,0.038
724.0,0.038
725.0,0.038
726.0,0.038
727.0,0.037
728.0,0.037
729.0,0.037
730.0,0.036
731.0,0.036
732.0,0.036
733.0,0.036
734.0,0.035
735.0,0.035
736.0,0.035
737.0,0.035
738.0,0.035
739.0,0.034
740.0,0.034
741.0,0.034
742.0,0.033
743.0,0.033
744.0,0.033
745.0,0.032
746.0,0.032
747.0,0.032
748.0,0.032
749.0,0.032
750.0,0.032
751.0,0.032
752.0,0.031
753.0,0.031
754.0,0.031
755.0,0.031
756.0,0.030
757.0,0.030
758.0,0.030
759.0,0.030
760.0,0.030
761.0,0.029
762.0,0.029
763.0,0.029
764.0,0.029
765.0,0.028
766.0,0.028
767.0,0.028
768.0,0.028
769.0,0.028
770.0,0.028
771.0,0.028
772.0,0.027
773.0,0.027
774.0,0.027
775.0,0.027
776.0,0.027
777.0,0.026
778.0,0.026
779.0,0.026
780.0,0.026
781.0,0.026
782.0,0.026
783.0,0.026
784.0,0.026
785.0,0.025
786.0,0.025
787.0,0.025
788.0,0.025
789.0,0.025
790.0,0.025
791.0,0.024
792.0,0.024
793.0,0.024
794.0,0.024
795.0,0.024
796.0,0.024
797.0,0.024
798.0,0.024
799.0,0.023
800.0,0.023
