Wavelength (nm),Absorbance
200.0,0.910
201.0,0.912
202.0,0.945
203.0,0.952
204.0,0.934
205.0,0.960
206.0,0.974
207.0,0.986
208.0,0.970
209.0,0.986
210.0,0.995
211.0,1.016
212.0,1.026
213.0,1.036
214.0,1.038
215.0,1.051
216.0,1.069
217.0,1.080
218.0,1.098
219.0,1.110
220.0,1.123
221.0,1.144
222.0,1.207
223.0,1.324
224.0,1.612
225.0,2.003
226.0,2.416
227.0,2.798
228.0,3.144
229.0,3.389
230.0,3.645
231.0,3.853
232.0,3.999
233.0,4.145
234.0,4.262
235.0,4.370
236.0,4.467
237.0,4.531
238.0,4.603
239.0,4.663
240.0,4.696
241.0,4.737
242.0,4.718
243.0,4.763
244.0,4.802
245.0,4.795
246.0,4.848
247.0,4.835
248.0,4.805
249.0,4.817
250.0,4.852
251.0,4.873
252.0,4.789
253.0,4.837
254.0,4.814
255.0,4.774
256.0,4.774
257.0,4.725
258.0,4.717
259.0,4.733
260.0,4.719
261.0,4.672
262.0,4.674
263.0,4.646
264.0,4.598
265.0,4.555
266.0,4.549
267.0,4.472
268.0,4.443
269.0,4.417
270.0,4.346
271.0,4.301
272.0,4.291
273.0,4.220
274.0,4.189
275.0,4.145
276.0,4.108
277.0,4.060
278.0,4.013
279.0,3.976
280.0,3.941
281.0,3.907
282.0,3.869
283.0,3.823
284.0,3.786
285.0,3.749
286.0,3.716
287.0,3.677
288.0,3.641
289.0,3.604
290.0,3.565
291.0,3.522
292.0,3.490
293.0,3.460
294.0,3.429
295.0,3.394
296.0,3.357
297.0,3.326
298.0,3.299
299.0,3.261
300.0,3.233
301.0,3.205
302.0,3.179
303.0,3.147
304.0,3.116
305.0,3.087
306.0,3.066
307.0,3.036
308.0,3.010
309.0,2.977
310.0,2.946
311.0,2.912
312.0,2.885
313.0,2.856
314.0,2.823
315.0,2.796
316.0,2.761
317.0,2.732
318.0,2.701
319.0,2.670
320.0,2.638
321.0,2.609
322.0,2.579
323.0,2.548
324.0,2.521
325.0,2.493
326.0,2.465
327.0,2.436
328.0,2.410
329.0,2.385
330.0,2.358
331.0,2.332
332.0,2.308
333.0,2.281
334.0,2.255
335.0,2.230
336.0,2.204
337.0,2.178
338.0,2.153
339.0,2.128
340.0,2.104
341.0,2.080
342.0,2.056
343.0,2.031
344.0,2.009
345.0,1.984
346.0,1.960
347.0,1.937
348.0,1.914
349.0,1.891
350.0,1.867
351.0,1.844
352.0,1.820
353.0,1.796
354.0,1.772
355.0,1.747
356.0,1.721
357.0,1.697
358.0,1.671
359.0,1.646
360.0,1.621
361.0,1.595
362.0,1.569
363.0,1.542
364.0,1.515
365.0,1.489
366.0,1.462
367.0,1.436
368.0,1.408
369.0,1.381
370.0,1.355
371.0,1.330
372.0,1.303
373.0,1.275
374.0,1.250
375.0,1.226
376.0,1.201
377.0,1.178
378.0,1.155
379.0,1.130
380.0,1.106
381.0,1.084
382.0,1.061
383.0,1.040
384.0,1.019
385.0,0.998
386.0,0.978
387.0,0.958
388.0,0.939
389.0,0.921
390.0,0.903
391.0,0.886
392.0,0.870
393.0,0.854
394.0,0.839
395.0,0.824
396.0,0.810
397.0,0.796
398.0,0.783
399.0,0.770
400.0,0.757
401.0,0.744
402.0,0.732
403.0,0.720
404.0,0.709
405.0,0.698
406.0,0.687
407.0,0.677
408.0,0.666
409.0,0.655
410.0,0.645
411.0,0.636
412.0,0.626
413.0,0.617
414.0,0.608
415.0,0.598
416.0,0.590
417.0,0.581
418.0,0.573
419.0,0.564
420.0,0.556
421.0,0.548
422.0,0.541
423.0,0.533
424.0,0.526
425.0,0.518
426.0,0.510
427.0,0.503
428.0,0.496
429.0,0.489
430.0,0.482
431.0,0.475
432.0,0.468
433.0,0.462
434.0,0.455
435.0,0.449
436.0,0.444
437.0,0.438
438.0,0.433
439.0,0.427
