Wavelength (nm),Absorbance
200.0,0.442
201.0,0.449
202.0,0.446
203.0,0.450
204.0,0.447
205.0,0.452
206.0,0.460
207.0,0.458
208.0,0.472
209.0,0.469
210.0,0.474
211.0,0.471
212.0,0.486
213.0,0.493
214.0,0.491
215.0,0.489
216.0,0.483
217.0,0.501
218.0,0.515
219.0,0.506
220.0,0.520
221.0,0.525
222.0,0.544
223.0,0.612
224.0,0.704
225.0,0.791
226.0,0.821
227.0,0.825
228.0,0.819
229.0,0.812
230.0,0.803
231.0,0.794
232.0,0.785
233.0,0.776
234.0,0.768
235.0,0.760
236.0,0.752
237.0,0.743
238.0,0.735
239.0,0.727
240.0,0.719
241.0,0.711
242.0,0.704
243.0,0.696
244.0,0.689
245.0,0.681
246.0,0.674
247.0,0.667
248.0,0.660
249.0,0.654
250.0,0.648
251.0,0.642
252.0,0.637
253.0,0.632
254.0,0.627
255.0,0.623
256.0,0.620
257.0,0.616
258.0,0.613
259.0,0.611
260.0,0.608
261.0,0.606
262.0,0.603
263.0,0.601
264.0,0.598
265.0,0.596
266.0,0.593
267.0,0.590
268.0,0.587
269.0,0.584
270.0,0.581
271.0,0.577
272.0,0.575
273.0,0.571
274.0,0.568
275.0,0.566
276.0,0.563
277.0,0.560
278.0,0.558
279.0,0.554
280.0,0.551
281.0,0.548
282.0,0.545
283.0,0.542
284.0,0.539
285.0,0.536
286.0,0.532
287.0,0.529
288.0,0.525
289.0,0.520
290.0,0.516
291.0,0.512
292.0,0.507
293.0,0.502
294.0,0.497
295.0,0.493
296.0,0.489
297.0,0.484
298.0,0.480
299.0,0.476
300.0,0.473
301.0,0.469
302.0,0.465
303.0,0.462
304.0,0.459
305.0,0.455
306.0,0.452
307.0,0.449
308.0,0.446
309.0,0.443
310.0,0.440
311.0,0.436
312.0,0.433
313.0,0.430
314.0,0.427
315.0,0.423
316.0,0.420
317.0,0.416
318.0,0.412
319.0,0.409
320.0,0.405
321.0,0.402
322.0,0.398
323.0,0.394
324.0,0.390
325.0,0.387
326.0,0.383
327.0,0.380
328.0,0.376
329.0,0.373
330.0,0.370
331.0,0.367
332.0,0.364
333.0,0.360
334.0,0.357
335.0,0.354
336.0,0.351
337.0,0.348
338.0,0.345
339.0,0.342
340.0,0.339
341.0,0.337
342.0,0.334
343.0,0.331
344.0,0.328
345.0,0.325
346.0,0.323
347.0,0.320
348.0,0.317
349.0,0.315
350.0,0.312
351.0,0.309
352.0,0.307
353.0,0.304
354.0,0.301
355.0,0.298
356.0,0.295
357.0,0.292
358.0,0.289
359.0,0.286
360.0,0.283
361.0,0.280
362.0,0.277
363.0,0.273
364.0,0.270
365.0,0.267
366.0,0.263
367.0,0.260
368.0,0.256
369.0,0.253
370.0,0.249
371.0,0.246
372.0,0.242
373.0,0.238
374.0,0.235
375.0,0.232
376.0,0.228
377.0,0.225
378.0,0.222
379.0,0.219
380.0,0.216
381.0,0.213
382.0,0.210
383.0,0.206
384.0,0.204
385.0,0.201
386.0,0.198
387.0,0.196
388.0,0.193
389.0,0.191
390.0,0.188
391.0,0.186
392.0,0.184
393.0,0.182
394.0,0.179
395.0,0.177
396.0,0.176
397.0,0.174
398.0,0.172
399.0,0.170
400.0,0.168
401.0,0.167
402.0,0.165
403.0,0.164
404.0,0.162
405.0,0.160
406.0,0.159
407.0,0.157
408.0,0.156
409.0,0.154
410.0,0.153
411.0,0.151
412.0,0.150
413.0,0.149
414.0,0.147
415.0,0.146
416.0,0.145
417.0,0.143
418.0,0.142
419.0,0.140
420.0,0.139
421.0,0.138
422.0,0.136
423.0,0.135
424.0,0.134
425.0,0.133
426.0,0.131
427.0,0.130
428.0,0.129
429.0,0.128
430.0,0.127
431.0,0.125
432.0,0.124
433.0,0.123
434.0,0.122
435.0,0.121
436.0,0.120
437.0,0.119
438.0,0.118
439.0,0.117
440.0,0.116
441.0,0.115
442.0,0.115
443.0,0.114
444.0,0.113
445.0,0.112
446.0,0.112
447.0,0.111
448.0,0.110
449.0,0.110
450.0,0.109
451.0,0.109
452.0,0.108
453.0,0.107
454.0,0.107
455.0,0.106
456.0,0.106
457.0,0.106
458.0,0.105
459.0,0.105
460.0,0.104
461.0,0.104
462.0,0.103
463.0,0.103
464.0,0.102
465.0,0.102
466.0,0.101
467.0,0.101
468.0,0.100
469.0,0.100
470.0,0.099
471.0,0.099
472.0,0.098
473.0,0.098
474.0,0.097
475.0,0.097
476.0,0.096
477.0,0.096
478.0,0.095
479.0,0.094
480.0,0.094
481.0,0.093
482.0,0.093
483.0,0.092
484.0,0.091
485.0,0.091
486.0,0.090
487.0,0.090
488.0,0.089
489.0,0.088
490.0,0.088
491.0,0.087
492.0,0.087
493.0,0.086
494.0,0.086
495.0,0.085
496.0,0.085
497.0,0.084
498.0,0.083
499.0,0.083
500.0,0.083
501.0,0.082
502.0,0.082
503.0,0.081
504.0,0.080
505.0,0.080
506.0,0.080
507.0,0.079
508.0,0.079
509.0,0.078
510.0,0.078
511.0,0.077
512.0,0.077
513.0,0.076
514.0,0.076
515.0,0.076
516.0,0.075
517.0,0.075
518.0,0.074
519.0,0.074
520.0,0.074
521.0,0.073
522.0,0.073
523.0,0.072
524.0,0.072
525.0,0.072
526.0,0.071
527.0,0.071
528.0,0.071
529.0,0.070
530.0,0.070
531.0,0.069
532.0,0.069
533.0,0.069
534.0,0.068
535.0,0.068
536.0,0.068
537.0,0.067
538.0,0.067
539.0,0.067
540.0,0.066
541.0,0.066
542.0,0.066
543.0,0.065
544.0,0.065
545.0,0.065
546.0,0.064
547.0,0.064
548.0,0.064
549.0,0.063
550.0,0.063
551.0,0.062
552.0,0.062
553.0,0.062
554.0,0.062
555.0,0.061
556.0,0.061
557.0,0.061
558.0,0.061
559.0,0.060
560.0,0.060
561.0,0.060
562.0,0.060
563.0,0.059
564.0,0.059
565.0,0.059
566.0,0.058
567.0,0.058
568.0,0.058
569.0,0.058
570.0,0.057
571.0,0.057
572.0,0.057
573.0,0.057
574.0,0.056
575.0,0.056
576.0,0.056
577.0,0.056
578.0,0.055
579.0,0.055
580.0,0.055
581.0,0.055
582.0,0.054
583.0,0.054
584.0,0.054
585.0,0.054
586.0,0.054
587.0,0.054
588.0,0.053
589.0,0.053
590.0,0.053
591.0,0.053
592.0,0.053
593.0,0.052
594.0,0.052
595.0,0.052
596.0,0.052
597.0,0.051
598.0,0.051
599.0,0.051
600.0,0.051
601.0,0.051
602.0,0.051
603.0,0.050
604.0,0.050
605.0,0.050
606.0,0.050
607.0,0.050
608.0,0.049
609.0,0.049
610.0,0.049
611.0,0.049
612.0,0.049
613.0,0.049
614.0,0.048
615.0,0.048
616.0,0.048
617.0,0.048
618.0,0.048
619.0,0.048
620.0,0.047
621.0,0.047
622.0,0.047
623.0,0.047
624.0,0.047
625.0,0.047
626.0,0.046
627.0,0.046
628.0,0.046
629.0,0.046
630.0,0.046
631.0,0.046
632.0,0.045
633.0,0.045
634.0,0.045
635.0,0.045
636.0,0.045
637.0,0.045
638.0,0.045
639.0,0.045
640.0,0.044
641.0,0.044
642.0,0.044
643.0,0.044
644.0,0.044
645.0,0.044
646.0,0.043
647.0,0.043
648.0,0.043
649.0,0.043
650.0,0.043
651.0,0.043
652.0,0.043
653.0,0.042
654.0,0.042
655.0,0.042
656.0,0.042
657.0,0.042
658.0,0.042
659.0,0.041
660.0,0.041
661.0,0.041
662.0,0.041
663.0,0.041
664.0,0.041
665.0,0.041
666.0,0.041
667.0,0.040
668.0,0.040
669.0,0.040
670.0,0.040
671.0,0.040
672.0,0.040
673.0,0.040
674.0,0.040
675.0,0.039
676.0,0.039
677.0,0.039
678.0,0.039
679.0,0.039
680.0,0.039
681.0,0.039
682.0,0.039
683.0,0.039
684.0,0.038
685.0,0.038
686.0,0.038
687.0,0.038
688.0,0.038
689.0,0.038
690.0,0.038
691.0,0.038
692.0,0.038
693.0,0.038
694.0,0.037
695.0,0.038
696.0,0.037
697.0,0.037
698.0,0.037
699.0,0.037
700.0,0.037
701.0,0.037
702.0,0.037
703.0,0.037
704.0,0.037
705.0,0.037
706.0,0.036
707.0,0.036
708.0,0.036
709.0,0.036
710.0,0.036
711.0,0.036
712.0,0.036
713.0,0.036
714.0,0.036
715.0,0.036
716.0,0.035
717.0,0.035
718.0,0.035
719.0,0.035
720.0,0.035
721.0,0.035
722.0,0.035
723.0,0.035
724.0,0.035
725.0,0.035
726.0,0.034
727.0,0.034
728.0,0.034
729.0,0.034
730.0,0.034
731.0,0.034
732.0,0.034
733.0,0.034
734.0,0.034
735.0,0.034
736.0,0.034
737.0,0.034
738.0,0.034
739.0,0.034
740.0,0.033
741.0,0.033
742.0,0.033
743.0,0.033
744.0,0.033
745.0,0.033
746.0,0.033
747.0,0.033
748.0,0.033
749.0,0.033
750.0,0.033
751.0,0.033
752.0,0.032
753.0,0.032
754.0,0.032
755.0,0.032
756.0,0.032
757.0,0.032
758.0,0.032
759.0,0.032
760.0,0.032
761.0,0.032
762.0,0.032
763.0,0.032
764.0,0.031
765.0,0.031
766.0,0.031
767.0,0.031
768.0,0.031
769.0,0.031
770.0,0.031
771.0,0.031
772.0,0.031
773.0,0.031
774.0,0.031
775.0,0.031
776.0,0.031
777.0,0.031
778.0,0.031
779.0,0.031
780.0,0.031
781.0,0.030
782.0,0.030
783.0,0.030
784.0,0.030
785.0,0.030
786.0,0.030
787.0,0.030
788.0,0.030
789.0,0.030
790.0,0.030
791.0,0.030
792.0,0.030
793.0,0.030
794.0,0.030
795.0,0.030
796.0,0.030
797.0,0.030
798.0,0.029
799.0,0.029
800.0,0.029
